id;name;contact_relationship;is_key_holder;info_sharing_consent_given;preferred_contact_number;full_address;created_date;last_updated_date;client_id;has_extra_data
1;North Carolina Metal enable;invoice Kip virtual;true;true;backing up;Division;2021-01-20T22:39:52;2021-01-20T14:36:05;24875;false
2;scalable Intelligent;sky blue envisioneer withdrawal;true;true;Personal Loan Account overriding Awesome Concrete Mouse;Tasty;2021-01-20T20:56:11;2021-01-21T03:46:21;69287;true
3;tan;knowledge base Intelligent Fresh Bacon;true;false;Investment Account;aggregate AI Rustic;2021-01-20T13:47:41;2021-01-20T14:22:44;61575;true
4;Pitcairn Islands Representative;Cambridgeshire Sleek Wooden Keyboard;false;true;deposit;Fresh;2021-01-21T08:01:41;2021-01-21T01:04:52;25849;true
5;port Senior auxiliary;payment directional killer;false;true;Licensed Cotton Salad calculate;Soap Factors;2021-01-20T16:00:15;2021-01-20T21:56:39;26771;false
6;quantifying Alabama Wooden;overriding payment port;false;true;e-markets Serbia;matrix well-modulated feed;2021-01-20T16:27:58;2021-01-20T16:34:55;23022;true
7;hack Bike;SCSI Checking Account;true;false;feed Bike;standardization;2021-01-20T14:04:08;2021-01-21T05:46:25;23866;false
8;cross-platform Secured;Robust;false;false;Incredible;overriding;2021-01-20T10:26:11;2021-01-20T17:57:49;85788;true
9;Nakfa;Strategist;true;true;Savings Account;Luxembourg protocol user-centric;2021-01-21T03:26:42;2021-01-20T13:02:43;83259;false
10;Locks tan;Chief Palladium Pizza;true;false;program;compressing circuit;2021-01-20T20:44:25;2021-01-20T12:53:28;29896;true
