id;document_name;document_number;document_status;note;issued_date;expiry_date;uploaded_date;document_file;document_file_content_type;document_file_url;created_date;last_updated_date;client_id;has_extra_data
1;Concrete calculate back up;bricks-and-clicks;ARCHIVED;synergize Port deliver;2021-01-21;2021-01-20;2021-01-21T00:40:39;../fake-data/blob/hipster.png;image/png;secured line quantifying high-level;2021-01-21T00:36:03;2021-01-21T07:54:20;14647;true
2;orchestration communities;Cotton quantify bifurcated;ARCHIVED;non-volatile Executive;2021-01-20;2021-01-20;2021-01-21T01:38:43;../fake-data/blob/hipster.png;image/png;Consultant Personal Loan Account front-end;2021-01-20T21:22:51;2021-01-20T11:39:06;72711;false
3;SQL;monitor niches;ACTIVE;B2C backing up toolset;2021-01-20;2021-01-21;2021-01-20T17:07:22;../fake-data/blob/hipster.png;image/png;Saint Lucia Cambridgeshire enable;2021-01-21T03:38:52;2021-01-21T00:47:41;25211;true
4;Graphical User Interface CSS;invoice Multi-layered cross-platform;ARCHIVED;Synergistic primary;2021-01-21;2021-01-20;2021-01-21T02:07:03;../fake-data/blob/hipster.png;image/png;Guernsey;2021-01-20T14:27:07;2021-01-21T02:04:01;53739;true
5;protocol driver;Officer New Jersey HTTP;EXPIRED;digital deposit;2021-01-20;2021-01-20;2021-01-20T20:45:07;../fake-data/blob/hipster.png;image/png;indexing Handcrafted Cotton Chair Intelligent;2021-01-20T13:18:25;2021-01-20T13:57:51;5447;false
6;schemas;architectures Pennsylvania Investor;EXPIRED;payment open-source Internal;2021-01-21;2021-01-20;2021-01-20T16:07:44;../fake-data/blob/hipster.png;image/png;virtual generating;2021-01-21T04:46:18;2021-01-20T15:46:21;9501;false
7;Officer Books cross-platform;policy;EXPIRED;Synchronised overriding Serbian Dinar;2021-01-20;2021-01-20;2021-01-20T16:23:07;../fake-data/blob/hipster.png;image/png;Persistent Human sky blue;2021-01-20T14:47:20;2021-01-21T04:09:28;62398;true
8;generating Enhanced Fish;Coordinator;EXPIRED;Electronics Regional;2021-01-20;2021-01-21;2021-01-21T05:31:17;../fake-data/blob/hipster.png;image/png;Borders Internal;2021-01-21T05:18:03;2021-01-21T01:07:31;59161;true
9;Parkway paradigms;TCP Cotton interactive;ARCHIVED;Riel;2021-01-20;2021-01-20;2021-01-20T12:02:35;../fake-data/blob/hipster.png;image/png;Yemeni Rial synergize;2021-01-20T12:32:36;2021-01-21T09:08:15;84932;true
10;deposit deposit;leading edge Officer Trinidad and Tobago Dollar;ARCHIVED;Chicken;2021-01-21;2021-01-20;2021-01-20T12:41:54;../fake-data/blob/hipster.png;image/png;backing up Diverse;2021-01-21T10:05:23;2021-01-21T08:55:03;39339;false
