id;document_name;document_number;document_status;note;issued_date;expiry_date;uploaded_date;document_file;document_file_content_type;document_file_url;created_date;last_updated_date;client_id;has_extra_data
1;virtual compress Borders;Pike;ARCHIVED;New Mexico calculating Cambridgeshire;2021-01-21;2021-01-21;2021-01-21T05:57:17;../fake-data/blob/hipster.png;image/png;bifurcated;2021-01-20T18:05:55;2021-01-21T04:12:07;24970;false
2;bypass;reintermediate SCSI system;ARCHIVED;Direct quantify;2021-01-20;2021-01-20;2021-01-20T18:19:50;../fake-data/blob/hipster.png;image/png;Handmade synthesizing;2021-01-21T05:05:06;2021-01-20T18:05:26;71671;false
3;repurpose fault-tolerant;Industrial Idaho Implementation;ARCHIVED;Chief architecture circuit;2021-01-20;2021-01-20;2021-01-21T05:59:19;../fake-data/blob/hipster.png;image/png;array solid state plum;2021-01-20T14:03:08;2021-01-20T16:10:24;13768;true
4;primary;frictionless withdrawal Shoes;EXPIRED;Soft;2021-01-20;2021-01-20;2021-01-21T00:41:17;../fake-data/blob/hipster.png;image/png;mobile Associate;2021-01-21T07:41:42;2021-01-20T23:41:36;66163;false
5;violet Baby Ergonomic Plastic Soap;Mauritania Auto Loan Account application;EXPIRED;Isle of Man Lithuania;2021-01-20;2021-01-20;2021-01-20T20:45:56;../fake-data/blob/hipster.png;image/png;Rustic Metal Soap;2021-01-21T04:06:25;2021-01-20T12:19:03;60580;false
6;haptic driver array;conglomeration Cross-platform;EXPIRED;back up;2021-01-20;2021-01-20;2021-01-20T16:06:41;../fake-data/blob/hipster.png;image/png;Avon;2021-01-20T19:31:54;2021-01-20T21:23:51;10658;false
7;Open-architected;Generic;ACTIVE;channels;2021-01-21;2021-01-21;2021-01-20T23:09:05;../fake-data/blob/hipster.png;image/png;Home Loan Account auxiliary Steel;2021-01-21T02:36:57;2021-01-20T23:15:10;93727;true
8;Berkshire TCP Small;Bedfordshire Solutions;EXPIRED;hack SQL Highway;2021-01-21;2021-01-21;2021-01-20T23:13:36;../fake-data/blob/hipster.png;image/png;innovate Savings Account Unbranded Plastic Chair;2021-01-20T13:48:16;2021-01-21T00:41:04;60505;true
9;Reverse-engineered online;synthesize tan;ACTIVE;Hawaii program;2021-01-21;2021-01-21;2021-01-21T10:21:41;../fake-data/blob/hipster.png;image/png;tertiary Cambridgeshire Bike;2021-01-20T22:43:57;2021-01-20T17:48:17;92177;false
10;Personal Loan Account;program strategic;ARCHIVED;JSON;2021-01-21;2021-01-21;2021-01-21T00:13:39;../fake-data/blob/hipster.png;image/png;Specialist;2021-01-20T21:58:45;2021-01-20T16:42:31;46016;true
