id;address;city_or_town;county;post_code;telephone;created_date;last_updated_date;client_id;has_extra_data
1;Enhanced Rubber;Legacy Industrial Investment Account;envisioneer emulation Avon;47101;589-895-0440;2021-01-13T20:48:34;2021-01-13T12:46:11;26329;true
2;Washington Liaison Bedfordshire;Borders;Montana Analyst;05709;1-468-662-5392 x2883;2021-01-14T03:22:10;2021-01-14T02:56:14;31144;false
3;database;RSS neutral HDD;Lead proactive overriding;81725;(881) 946-1680 x0176;2021-01-14T05:00:58;2021-01-14T04:06:45;47889;false
4;Mouse withdrawal Electronics;Massachusetts;Pre-emptive magenta;60853-9855;126.325.3405 x57047;2021-01-14T02:18:25;2021-01-13T17:41:07;51878;true
5;streamline;productivity New Israeli Sheqel Moldovan Leu;Cambridgeshire COM Savings Account;05393-0758;170.734.6434 x02698;2021-01-13T22:18:39;2021-01-14T06:33:39;90712;false
6;Bedfordshire Money Market Account Practical;withdrawal;Credit Card Account;81069;702.178.9826 x32180;2021-01-13T14:29:35;2021-01-14T08:30:05;26135;false
7;Global Licensed;e-markets compressing;Nebraska Games Dynamic;46612;704-991-7301 x932;2021-01-14T03:09:37;2021-01-14T05:05:19;96869;true
8;withdrawal withdrawal Indian Rupee;Highway explicit;Handmade metrics;69872-3600;620-836-2060 x45887;2021-01-14T04:25:06;2021-01-13T23:19:02;49516;true
9;Brunei Dollar Granite;Games mission-critical Cambridgeshire;Fantastic Plastic Fish;40056;1-482-337-0493;2021-01-14T09:45:01;2021-01-13T17:32:28;77610;true
10;Dale calculate;magenta RAM;local Bahraini Dinar Vermont;90414-2953;(904) 026-5485;2021-01-13T15:20:46;2021-01-14T07:05:32;95310;true
